ID,Days,Vessel,VesselType,Year,Month,Day,Date,DayOfWeek,Latitude,Longitude,Slaves embarked,Slaves died on coast,Slaves began MP,Slaves disembarked,Slaves alive,Slave men deaths,Slave women deaths,Total slave adult deaths,Slave boy deaths,Slave girl deaths,Total slave child deaths,Slave deaths of unkown gender and age,Total slave deaths,Slave births,Archive,Document
1,1,Drie_Gezusters,Snauw (Snow-brig),1756,4,17,17560417,Saturday,5.162,-1.115,,,234,,234,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
2,2,Drie_Gezusters,Snauw (Snow-brig),1756,4,18,17560418,Sunday,4.1833,3.1,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
3,3,Drie_Gezusters,Snauw (Snow-brig),1756,4,19,17560419,Monday,4.1667,2.8,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
4,4,Drie_Gezusters,Snauw (Snow-brig),1756,4,20,17560420,Tuesday,3.8,2.8833,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
5,5,Drie_Gezusters,Snauw (Snow-brig),1756,4,21,17560421,Wednesday,3.9,2.3167,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
6,6,Drie_Gezusters,Snauw (Snow-brig),1756,4,22,17560422,Thursday,3.0667,1.7167,,,,,,,1,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
7,7,Drie_Gezusters,Snauw (Snow-brig),1756,4,23,17560423,Friday,3.4833,1.2,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
8,8,Drie_Gezusters,Snauw (Snow-brig),1756,4,24,17560424,Saturday,3.2667,0.3167,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
9,9,Drie_Gezusters,Snauw (Snow-brig),1756,4,25,17560425,Sunday,3.0833,0.0833,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
10,10,Drie_Gezusters,Snauw (Snow-brig),1756,4,26,17560426,Monday,3.0167,-0.3667,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
11,11,Drie_Gezusters,Snauw (Snow-brig),1756,4,27,17560427,Tuesday,3.0333,-0.7,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
12,12,Drie_Gezusters,Snauw (Snow-brig),1756,4,28,17560428,Wednesday,2.85,-1.6,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
13,13,Drie_Gezusters,Snauw (Snow-brig),1756,4,29,17560429,Thursday,2.8167,-1.4833,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
14,14,Drie_Gezusters,Snauw (Snow-brig),1756,4,30,17560430,Friday,2.55,-2.3833,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
15,15,Drie_Gezusters,Snauw (Snow-brig),1756,5,1,17560501,Saturday,2.1,-3.2,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
16,16,Drie_Gezusters,Snauw (Snow-brig),1756,5,2,17560502,Sunday,1.7333,-4.1,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
17,17,Drie_Gezusters,Snauw (Snow-brig),1756,5,3,17560503,Monday,1.4333,-5.1667,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
18,18,Drie_Gezusters,Snauw (Snow-brig),1756,5,4,17560504,Tuesday,0.7167,-6.8167,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
19,19,Drie_Gezusters,Snauw (Snow-brig),1756,5,5,17560505,Wednesday,0.1333,-8.1667,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
20,20,Drie_Gezusters,Snauw (Snow-brig),1756,5,6,17560506,Thursday,-0.0833,-9.15,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
21,21,Drie_Gezusters,Snauw (Snow-brig),1756,5,7,17560507,Friday,-0.5167,-10.2667,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
22,22,Drie_Gezusters,Snauw (Snow-brig),1756,5,8,17560508,Saturday,-0.95,-11.4333,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
23,23,Drie_Gezusters,Snauw (Snow-brig),1756,5,9,17560509,Sunday,-1.3167,-12.7333,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
